,Unnamed: 0,Date,Q1,Q2,Q3,Q4,AveragePrice,Total Volume,Medium,Large,Extra Large,Other,type,year,conventional,organic
196,50,2016-01-10,True,False,False,False,0.87,6303406.82,1736168.01,2173554.18,261931.07,2131753.5600000005,conventional,2016,True,False
197,3,2018-03-04,True,False,False,False,1.13,6295529.61,2380723.98,1676629.99,116796.74,2121378.9000000004,conventional,2018,True,False
201,38,2017-04-09,False,True,False,False,1.13,6249182.98,1926187.79,2128867.47,161909.09,2032218.6300000001,conventional,2017,True,False
202,48,2016-01-24,True,False,False,False,0.88,6246380.73,1230068.19,2457751.77,272665.17,2285895.600000001,conventional,2016,True,False
205,30,2015-05-31,False,True,False,False,0.98,6236903.31,3620440.35,1826496.62,209443.33,580523.0099999994,conventional,2015,True,False
208,20,2015-08-09,False,False,True,False,1.1,6232081.27,3260775.73,2196704.97,193831.6,580768.9699999994,conventional,2015,True,False
211,2,2017-12-17,False,False,False,True,0.98,6205211.05,1901831.08,2877209.2,115250.14,1310920.6299999997,conventional,2017,True,False
213,23,2016-07-17,False,False,True,False,1.14,6200613.68,2196723.33,2037093.61,278664.44,1688132.2999999996,conventional,2016,True,False
215,45,2017-02-19,True,False,False,False,0.95,6194368.66,1999799.14,2098407.09,177817.01,1918345.4200000006,conventional,2017,True,False
218,29,2017-06-11,False,True,False,False,1.22,6177216.24,2302944.62,1517908.04,188258.15,2168105.43,conventional,2017,True,False
219,31,2017-05-28,False,True,False,False,1.32,6160751.92,2307940.04,1793496.44,153502.24,1905813.2,conventional,2017,True,False
224,20,2016-08-07,False,False,True,False,1.17,6144827.51,2152079.32,2039791.18,211671.11,1741285.9,conventional,2016,True,False
227,8,2018-01-28,True,False,False,False,1.16,6134040.58,2254631.8,2185495.65,121090.87,1572822.2600000002,conventional,2018,True,False
233,22,2016-07-24,False,False,True,False,1.2,6104047.38,2019596.6,2147541.33,302735.37,1634174.0799999996,conventional,2016,True,False
237,13,2016-09-25,False,False,True,False,1.15,6075588.68,2357903.8,1924933.51,117423.95,1675327.42,conventional,2016,True,False
238,32,2016-05-15,False,True,False,False,0.97,6068872.71,2247484.21,1968268.95,353196.44,1499923.11,conventional,2016,True,False
239,38,2016-04-03,False,True,False,False,0.93,6060843.76,1805555.95,2247248.19,334735.17,1673304.4499999997,conventional,2016,True,False
240,15,2016-09-11,False,False,True,False,1.12,6059764.51,2297601.9,1976499.46,114241.36,1671421.7899999998,conventional,2016,True,False
244,50,2015-01-11,True,False,False,False,0.92,6024932.34,2889591.29,2485720.1,103573.42,546047.5299999997,conventional,2015,True,False
246,41,2016-03-13,True,False,False,False,0.96,6017563.88,1750943.52,1855262.7,317337.27,2094020.3899999992,conventional,2016,True,False
250,49,2016-01-17,True,False,False,False,0.9,6000013.23,1653347.69,2336705.19,250106.17,1759854.180000001,conventional,2016,True,False
251,42,2015-03-08,True,False,False,False,0.96,5990243.89,3484274.6,1649936.05,184720.58,671312.6599999996,conventional,2015,True,False
255,27,2015-06-21,False,True,False,False,1.07,5952597.29,3328631.93,1743509.25,218423.77,662032.3399999999,conventional,2015,True,False
256,44,2015-02-22,True,False,False,False,0.96,5951871.32,3210177.22,1933699.49,172675.88,635318.7300000001,conventional,2015,True,False
258,21,2016-07-31,False,False,True,False,1.22,5947160.29,1922055.35,2069409.78,244730.21,1710964.95,conventional,2016,True,False
263,10,2018-01-14,True,False,False,False,1.27,5927016.73,2098762.55,2356359.93,151045.33,1320848.9200000004,conventional,2018,True,False
270,35,2017-04-30,False,True,False,False,1.25,5889669.2,2197824.46,1689225.61,157508.63,1845110.5,conventional,2017,True,False
273,46,2015-02-08,True,False,False,False,0.91,5871224.58,2908845.38,2200393.89,149458.93,612526.3800000001,conventional,2015,True,False
274,36,2015-04-19,False,True,False,False,1.05,5871080.81,3024466.22,2070974.14,177354.82,598285.6299999994,conventional,2015,True,False
276,20,2017-08-13,False,False,True,False,1.26,5862368.39,2346710.99,2079376.28,190313.03,1245968.0899999994,conventional,2017,True,False
281,8,2015-11-01,False,False,False,True,0.95,5830427.96,2369824.75,2596785.28,211901.97,651915.9600000002,conventional,2015,True,False
284,16,2015-09-06,False,False,True,False,1.09,5806392.78,2859325.91,2077193.6,240185.0,629688.27,conventional,2015,True,False
291,51,2015-01-04,True,False,False,False,0.93,5777334.9,2843648.26,2267755.26,137479.64,528451.7400000008,conventional,2015,True,False
293,3,2015-12-06,False,False,False,True,0.78,5775536.27,1943065.5,2100246.17,221957.26,1510267.3399999996,conventional,2015,True,False
295,11,2018-01-07,True,False,False,False,1.19,5756632.36,2350838.88,1704810.36,135053.06,1565930.0600000003,conventional,2018,True,False
296,6,2015-11-15,False,False,False,True,0.83,5755190.69,2243013.44,2164098.99,195159.32,1152918.9400000002,conventional,2015,True,False
300,39,2017-04-02,False,True,False,False,1.22,5719811.06,1856672.56,1580307.3,150682.37,2132148.829999999,conventional,2017,True,False
302,3,2017-12-10,False,False,False,True,1.06,5715712.21,2234102.17,2013200.4,90168.26,1378241.3800000001,conventional,2017,True,False
303,9,2017-10-29,False,False,False,True,1.2,5714676.89,1981731.12,2384845.53,125816.68,1222283.5599999998,conventional,2017,True,False
307,45,2015-02-15,True,False,False,False,0.96,5699944.93,3315163.6,1620462.13,169907.54,594411.6599999997,conventional,2015,True,False
314,8,2017-11-05,False,False,False,True,1.15,5663438.53,2148627.4,2224529.18,108333.63,1181948.3200000003,conventional,2017,True,False
315,21,2017-08-06,False,False,True,False,1.36,5655955.05,2313742.61,1892140.35,159763.39,1290308.6999999997,conventional,2017,True,False
317,12,2016-10-02,False,False,False,True,1.19,5652496.31,2359102.44,1664176.22,121961.08,1507256.5699999996,conventional,2016,True,False
320,17,2015-08-30,False,False,True,False,1.08,5647385.15,3104607.82,1660274.32,233027.36,649475.6500000005,conventional,2015,True,False
322,26,2015-06-28,False,True,False,False,1.1,5641742.02,3163839.74,1610910.07,212173.21,654818.9999999993,conventional,2015,True,False
323,7,2017-11-12,False,False,False,True,1.15,5637795.0,2309785.0,1882561.0,108415.0,1337034.0,conventional,2017,True,False
325,36,2017-04-23,False,True,False,False,1.26,5637299.78,2027854.71,1521895.03,162006.91,1925543.1300000004,conventional,2017,True,False
326,37,2015-04-12,False,True,False,False,1.06,5636644.51,2848184.0,1988818.23,185198.77,614443.5099999998,conventional,2015,True,False
327,43,2017-03-05,True,False,False,False,1.15,5634150.07,1961188.27,1720072.57,161251.98,1791637.2500000002,conventional,2017,True,False
330,31,2015-05-24,False,True,False,False,1.1,5621713.64,2978396.74,1873205.91,195991.06,574119.9299999995,conventional,2015,True,False
333,19,2015-08-16,False,False,True,False,1.11,5616434.08,3098708.55,1731349.0,208724.73,577651.8000000003,conventional,2015,True,False
335,32,2017-05-21,False,True,False,False,1.35,5599003.03,2077113.57,1627754.26,137755.31,1756379.89,conventional,2017,True,False
341,40,2015-03-22,True,False,False,False,1.06,5571812.77,2348618.25,2314393.94,195791.46,713009.1199999996,conventional,2015,True,False
342,22,2017-07-30,False,False,True,False,1.38,5571000.96,2179199.68,2206571.02,152942.18,1032288.0799999998,conventional,2017,True,False
343,49,2015-01-18,True,False,False,False,1.02,5570915.26,2780859.66,2108450.36,121614.31,559990.9299999997,conventional,2015,True,False
344,22,2015-07-26,False,False,True,False,1.13,5557616.27,3112921.78,1636659.9,209427.05,598607.5399999998,conventional,2015,True,False
345,41,2015-03-15,True,False,False,False,1.06,5557163.11,2962520.41,1737353.95,194761.49,662527.2600000002,conventional,2015,True,False
350,4,2017-12-03,False,False,False,True,1.09,5544556.0,2333912.0,1660573.0,100234.0,1449837.0,conventional,2017,True,False
357,2,2016-12-11,False,False,False,True,0.9,5526646.12,1638639.18,2137290.51,96836.26,1653880.1700000006,conventional,2016,True,False
364,14,2016-09-18,False,False,True,False,1.22,5471565.28,1888694.03,1934688.42,112714.97,1535467.86,conventional,2016,True,False
366,38,2015-04-05,False,True,False,False,1.12,5467155.55,2754464.87,1886168.89,225396.85,601124.9399999998,conventional,2015,True,False
369,24,2015-07-12,False,False,True,False,1.13,5451636.92,2747299.98,1923893.11,157478.05,622965.7799999998,conventional,2015,True,False
372,37,2017-04-16,False,True,False,False,1.34,5442086.44,2047142.24,1572972.43,163002.25,1658969.5200000003,conventional,2017,True,False
374,21,2015-08-02,False,False,True,False,1.16,5428238.87,2940145.82,1737845.94,183471.03,566776.0800000003,conventional,2015,True,False
376,0,2016-12-25,False,False,False,True,0.94,5414937.46,1579234.89,2192460.84,99997.75,1543243.9800000004,conventional,2016,True,False
381,24,2017-07-16,False,False,True,False,1.49,5405190.35,2319570.09,1821613.01,178446.19,1085561.0599999998,conventional,2017,True,False
385,11,2016-10-09,False,False,False,True,1.34,5375978.5,2021375.04,1750074.56,123430.31,1481098.5899999999,conventional,2016,True,False
390,1,2017-12-24,False,False,False,True,1.13,5346535.57,1934361.67,1934710.69,116855.41,1360607.8000000005,conventional,2017,True,False
392,39,2015-03-29,True,False,False,False,1.1,5341821.67,2609532.63,1869271.31,193577.55,669440.1799999999,conventional,2015,True,False
396,41,2017-03-19,True,False,False,False,1.31,5328958.01,1857645.04,1555271.43,143586.99,1772454.5499999998,conventional,2017,True,False
408,32,2015-05-17,False,True,False,False,1.08,5289138.5,2923673.93,1649623.66,168597.35,547243.5599999999,conventional,2015,True,False
412,2,2015-12-13,False,False,False,True,0.87,5259354.3,1806690.08,1627240.76,232985.13,1592438.3299999996,conventional,2015,True,False
417,23,2015-07-19,False,False,True,False,1.18,5225200.52,2805887.74,1629871.75,188207.47,601233.5599999994,conventional,2015,True,False
418,13,2015-09-27,False,False,True,False,1.04,5216784.63,1860050.39,2635028.38,206460.07,515245.7900000003,conventional,2015,True,False
422,42,2017-03-12,True,False,False,False,1.31,5208101.86,1871004.41,1577127.23,156629.51,1603340.7100000002,conventional,2017,True,False
427,18,2015-08-23,False,False,True,False,1.18,5193221.0,2626977.95,1798911.33,222082.91,545248.8099999997,conventional,2015,True,False
428,23,2017-07-23,False,False,True,False,1.46,5188483.1,2201004.96,1738865.16,151424.79,1097188.1899999997,conventional,2017,True,False
430,7,2015-11-08,False,False,False,True,0.98,5148983.51,2317858.81,1758964.54,216523.58,855636.5799999997,conventional,2015,True,False
444,15,2015-09-13,False,False,True,False,1.13,5106508.12,1863270.81,2388023.33,270794.34,584419.6399999999,conventional,2015,True,False
446,40,2017-03-26,True,False,False,False,1.33,5073070.91,1693588.76,1542979.33,138133.01,1698369.8100000003,conventional,2017,True,False
449,11,2015-10-11,False,False,False,True,1.08,5063309.38,1757211.58,2530023.18,221032.74,555041.8799999997,conventional,2015,True,False
450,3,2016-12-04,False,False,False,True,0.98,5062952.53,1916640.11,1449671.84,86152.75,1610487.8299999998,conventional,2016,True,False
453,0,2015-12-27,False,False,False,True,0.9,5040365.47,1833946.59,1760956.02,232755.85,1212707.0099999998,conventional,2015,True,False
462,10,2015-10-18,False,False,False,True,1.07,4999031.79,1847991.31,2286235.79,217814.17,646990.5199999999,conventional,2015,True,False
473,12,2015-10-04,False,False,False,True,1.02,4943781.29,1461112.39,2788317.94,222260.58,472090.38000000047,conventional,2015,True,False
476,48,2015-01-25,True,False,False,False,1.06,4929884.26,2380955.61,1827783.28,150535.5,570609.8699999999,conventional,2015,True,False
479,35,2015-04-26,False,True,False,False,1.15,4923565.04,2421009.67,1729486.77,196469.02,576599.5800000001,conventional,2015,True,False
480,1,2016-12-18,False,False,False,True,0.95,4922621.54,1575318.71,1774200.38,90983.73,1482118.7200000002,conventional,2016,True,False
486,10,2016-10-16,False,False,False,True,1.4,4878037.64,1635631.14,1600568.32,108458.09,1533380.0899999999,conventional,2016,True,False
502,5,2015-11-22,False,False,False,True,0.92,4804278.16,1602215.57,1917124.52,215632.16,1069305.91,conventional,2015,True,False
507,6,2017-11-19,False,False,False,True,1.26,4782021.0,1879513.0,1360694.0,107055.0,1434759.0,conventional,2017,True,False
510,14,2015-09-20,False,False,True,False,1.14,4759791.13,1702965.49,2230693.51,273922.36,552209.7699999999,conventional,2015,True,False
519,1,2015-12-20,False,False,False,True,0.94,4695737.21,1676601.43,1543280.76,266689.82,1209165.2000000002,conventional,2015,True,False
532,17,2017-09-03,False,False,True,False,1.65,4648718.22,1856634.4,1720930.65,168178.12,902975.0499999999,conventional,2017,True,False
537,9,2015-10-25,False,False,False,True,1.12,4592461.81,1733791.31,2025016.15,215622.63,618031.7199999996,conventional,2015,True,False
539,4,2015-11-29,False,False,False,True,0.91,4575710.62,1461699.38,1810202.7,222311.07,1081497.4700000002,conventional,2015,True,False
549,19,2017-08-20,False,False,True,False,1.64,4524974.68,1995269.12,1293180.21,165218.13,1071307.2199999997,conventional,2017,True,False
565,10,2017-10-22,False,False,False,True,1.53,4420877.4,1604916.52,1779177.98,123891.36,912891.5400000004,conventional,2017,True,False
571,5,2017-11-26,False,False,False,True,1.3,4392810.0,1734281.0,1354966.0,121946.0,1181617.0,conventional,2017,True,False
572,16,2017-09-10,False,False,True,False,1.71,4380657.13,1677368.14,1599511.35,141899.49,961878.1500000001,conventional,2017,True,False
576,18,2017-08-27,False,False,True,False,1.78,4360013.67,1889886.87,1420373.34,157338.07,892415.3899999997,conventional,2017,True,False
589,5,2016-11-20,False,False,False,True,1.32,4253815.59,1513797.4,1394929.07,93901.07,1251188.0499999998,conventional,2016,True,False
614,4,2016-11-27,False,False,False,True,1.21,4185900.67,1508446.52,1313000.92,81897.44,1282555.79,conventional,2016,True,False
619,15,2017-09-17,False,False,True,False,1.72,4167531.38,1571529.56,1556655.98,128019.39,911326.4499999998,conventional,2017,True,False
624,12,2017-10-08,False,False,False,True,1.74,4151444.41,1377101.0,1829530.74,138380.27,806432.4000000001,conventional,2017,True,False
648,11,2017-10-15,False,False,False,True,1.68,4066640.98,1348029.41,1699672.65,137027.4,881911.5200000004,conventional,2017,True,False
679,14,2017-09-24,False,False,True,False,1.74,3937000.67,1383479.62,1575761.37,119703.21,858056.4699999997,conventional,2017,True,False
688,9,2016-10-23,False,False,False,True,1.39,3899040.66,1397559.4,1129206.16,82276.22,1289998.8800000004,conventional,2016,True,False
695,13,2017-10-01,False,False,False,True,1.77,3870633.16,1288266.68,1608863.15,120405.29,853098.0400000005,conventional,2017,True,False
706,6,2016-11-13,False,False,False,True,1.48,3848128.2,1326907.02,1367684.96,112541.9,1040994.3200000002,conventional,2016,True,False
842,7,2016-11-06,False,False,False,True,1.68,3395058.42,1111431.87,1333386.69,120964.4,829275.4599999998,conventional,2016,True,False
971,8,2016-10-30,False,False,False,True,1.68,3139833.5,1126017.42,1186843.99,92064.47,734907.6200000001,conventional,2016,True,False
6101,33,2016-05-08,False,True,False,False,1.25,256669.13,19169.71,147864.84,0.0,89634.58000000002,organic,2016,False,True
6213,43,2015-03-01,True,False,False,False,1.15,250298.58,178033.64,59786.79,0.0,12478.149999999972,organic,2015,False,True
6361,3,2018-03-04,True,False,False,False,1.57,239135.67,34245.39,67952.25,0.0,136938.03000000003,organic,2018,False,True
6401,2,2018-03-11,True,False,False,False,1.58,236822.98,32765.76,83573.0,0.0,120484.22,organic,2018,False,True
6585,34,2016-05-01,False,True,False,False,1.24,225346.56,16747.64,132440.93,0.0,76157.98999999999,organic,2016,False,True
6665,43,2017-03-05,True,False,False,False,1.45,220712.33,28613.88,65742.41,6.34,126349.69999999998,organic,2017,False,True
6726,10,2018-01-14,True,False,False,False,1.61,216681.04,52253.4,95353.95,0.0,69073.69000000002,organic,2018,False,True
6749,44,2017-02-26,True,False,False,False,1.34,215699.08,26443.61,69371.98,3.16,119880.32999999997,organic,2017,False,True
6769,43,2016-02-28,True,False,False,False,1.28,214658.47,16583.5,95085.1,4.55,102985.31999999999,organic,2016,False,True
6792,24,2016-07-10,False,False,True,False,1.51,213417.87,30506.94,89764.31,10.85,93135.76999999999,organic,2016,False,True
6823,34,2017-05-07,False,True,False,False,1.59,211442.68,27955.44,80576.31,1.61,102909.31999999999,organic,2017,False,True
6828,31,2016-05-22,False,True,False,False,1.37,211081.29,22352.56,102703.17,4.59,86020.97000000002,organic,2016,False,True
6836,42,2017-03-12,True,False,False,False,1.53,210400.75,26372.8,73288.71,9.46,110729.78,organic,2017,False,True
6847,20,2016-08-07,False,False,True,False,1.48,210038.55,22201.7,79011.43,0.0,108825.41999999998,organic,2016,False,True
6851,41,2017-03-19,True,False,False,False,1.57,209591.02,25435.01,81224.16,39.25,102892.59999999998,organic,2017,False,True
6854,25,2016-07-03,False,False,True,False,1.58,209495.6,24660.35,110483.19,21.71,74330.34999999999,organic,2016,False,True
6861,19,2016-08-14,False,False,True,False,1.47,208956.81,28111.21,84313.38,35.82,96496.4,organic,2016,False,True
6870,35,2016-04-24,False,True,False,False,1.39,208434.9,18891.23,100137.58,3.04,89403.04999999999,organic,2016,False,True
6902,38,2016-04-03,False,True,False,False,1.39,206688.54,17840.63,115062.35,0.0,73785.56,organic,2016,False,True
6908,30,2017-06-04,False,True,False,False,1.64,206419.24,31578.61,80018.8,12.42,94809.41,organic,2017,False,True
6944,26,2016-06-26,False,True,False,False,1.51,204392.39,34450.42,103277.2,18.59,66646.18000000004,organic,2016,False,True
6964,30,2016-05-29,False,True,False,False,1.49,203163.62,22713.1,99956.65,0.0,80493.87,organic,2016,False,True
6974,1,2018-03-18,True,False,False,False,1.75,202790.74,29398.11,70514.05,8.08,102870.5,organic,2018,False,True
6976,32,2016-05-15,False,True,False,False,1.5,202641.92,26935.79,102253.41,0.0,73452.72,organic,2016,False,True
7022,41,2016-03-13,True,False,False,False,1.41,199915.92,18235.75,101106.75,0.0,80573.42000000001,organic,2016,False,True
7024,35,2017-04-30,False,True,False,False,1.61,199903.62,29040.03,67606.93,7.79,103248.87000000001,organic,2017,False,True
7029,42,2016-03-06,True,False,False,False,1.32,198961.57,19796.42,86184.7,3.04,92977.41000000003,organic,2016,False,True
7049,31,2017-05-28,False,True,False,False,1.76,197588.64,31705.67,68967.28,12.52,96903.17000000003,organic,2017,False,True
7057,36,2017-04-23,False,True,False,False,1.6,197179.76,28028.44,69003.58,4.7,100143.04000000001,organic,2017,False,True
7062,27,2016-06-19,False,True,False,False,1.57,196942.94,23134.77,102745.34,35.56,71027.27000000002,organic,2016,False,True
7075,47,2015-02-01,True,False,False,False,1.11,196031.9,142332.45,41999.51,2.92,11697.01999999998,organic,2015,False,True
7092,49,2015-01-18,True,False,False,False,1.24,195207.6,123138.29,58616.16,0.0,13453.150000000009,organic,2015,False,True
7106,37,2017-04-16,False,True,False,False,1.67,194263.4,28602.39,68759.01,7.85,96894.15000000001,organic,2017,False,True
7111,40,2017-03-26,True,False,False,False,1.7,194052.77,34618.57,71542.71,7.86,87883.62999999998,organic,2017,False,True
7120,37,2016-04-10,False,True,False,False,1.4,193519.09,16938.01,93768.59,0.0,82812.48999999999,organic,2016,False,True
7124,23,2016-07-17,False,False,True,False,1.59,192800.93,21165.43,91337.45,7.76,80290.29000000001,organic,2016,False,True
7127,28,2016-06-12,False,True,False,False,1.5,192533.95,24728.3,101839.43,3.07,65963.15000000002,organic,2016,False,True
7143,39,2017-04-02,False,True,False,False,1.64,191988.18,31381.85,69457.56,17.3,91131.46999999999,organic,2017,False,True
7173,0,2018-03-25,True,False,False,False,1.7,190257.38,29644.09,70982.1,0.0,89631.19,organic,2018,False,True
7204,21,2016-07-31,False,False,True,False,1.56,188494.23,21895.14,83894.93,12.45,82691.71000000004,organic,2016,False,True
7212,7,2018-02-04,True,False,False,False,1.56,188212.98,38078.53,60551.97,0.0,89582.48000000001,organic,2018,False,True
7224,15,2016-09-11,False,False,True,False,1.55,187617.54,22135.19,97386.14,27.95,68068.26000000001,organic,2016,False,True
7229,36,2016-04-17,False,True,False,False,1.39,187358.5,17320.0,84073.76,6.08,85958.66,organic,2016,False,True
7248,38,2017-04-09,False,True,False,False,1.63,186112.1,30319.27,66541.46,7.86,89243.51000000001,organic,2017,False,True
7263,22,2016-07-24,False,False,True,False,1.56,185039.68,22033.28,82329.89,26.42,80650.09,organic,2016,False,True
7272,39,2016-03-27,True,False,False,False,1.42,184634.36,14744.95,92064.48,7.58,77817.34999999998,organic,2016,False,True
7286,45,2017-02-19,True,False,False,False,1.5,183797.3,27932.48,71026.47,3.16,84835.18999999997,organic,2017,False,True
