,Date,AveragePrice,Total Volume,Medium,Large,Extra Large,Other,type,year,region
1872,2017-12-10,1.54,1217680.36,94279.26,258003.98,1003.84,864393.2800000001,organic,2017,TotalUS
1875,2017-07-23,1.76,1214158.19,113467.66,317184.04,3700.92,779805.57,organic,2017,TotalUS
1881,2017-05-21,1.71,1210560.61,166985.41,351498.5,4322.99,687753.7100000001,organic,2017,TotalUS
1913,2017-04-23,1.61,1190461.18,152604.41,347557.13,3245.62,687054.0199999999,organic,2017,TotalUS
1925,2017-10-22,1.82,1180823.79,89301.75,229689.25,1309.82,860522.9700000001,organic,2017,TotalUS
1929,2017-12-24,1.64,1179930.12,103199.55,247166.08,1143.57,828420.9200000002,organic,2017,TotalUS
1930,2016-04-10,1.26,1179603.03,108747.34,400281.85,12154.73,658419.11,organic,2016,TotalUS
1941,2017-07-02,1.74,1173393.06,128156.1,360890.48,3393.83,680952.6500000001,organic,2017,TotalUS
1943,2017-10-15,1.85,1172057.19,103557.18,218881.54,1369.62,848248.85,organic,2017,TotalUS
1950,2016-05-22,1.36,1165715.01,166883.21,455336.56,15807.85,527687.39,organic,2016,TotalUS
1953,2017-10-08,1.9,1164140.49,100744.58,231652.64,1224.99,830518.2799999999,organic,2017,TotalUS
1977,2017-12-17,1.57,1148617.16,94905.86,248498.73,982.45,804230.1199999999,organic,2017,TotalUS
1978,2017-07-16,1.78,1148354.84,94267.55,311432.79,4766.71,737887.79,organic,2017,TotalUS
1992,2016-05-08,1.3,1137940.78,132225.28,443777.31,26765.78,535172.4099999999,organic,2016,TotalUS
2005,2017-07-09,1.71,1130374.7,109023.66,333458.24,3424.69,684468.11,organic,2017,TotalUS
2015,2017-09-24,1.94,1125443.38,116338.61,237876.77,1182.85,770045.1499999999,organic,2017,TotalUS
2017,2017-10-29,1.84,1123703.61,88668.95,218858.34,1150.03,815026.2900000002,organic,2017,TotalUS
2024,2017-12-03,1.62,1119325.0,99317.88,269450.85,1108.2,749448.0700000001,organic,2017,TotalUS
2051,2016-09-11,1.52,1103488.85,144991.21,334671.53,3481.85,620344.2600000001,organic,2016,TotalUS
2059,2017-06-25,1.77,1101009.92,123317.1,341073.87,2613.51,634005.44,organic,2017,TotalUS
2076,2017-09-10,2.03,1093955.66,114942.21,249231.14,940.89,728841.4199999999,organic,2017,TotalUS
2078,2016-08-14,1.48,1093287.79,186697.3,341463.72,10231.17,554895.6,organic,2016,TotalUS
2083,2017-07-30,1.78,1091590.78,100332.24,270534.58,2135.74,718588.22,organic,2017,TotalUS
2098,2016-05-29,1.41,1085152.56,137449.41,468311.32,13698.09,465693.74,organic,2016,TotalUS
2108,2017-09-03,2.06,1075538.53,113516.0,256920.07,2256.96,702845.5,organic,2017,TotalUS
2110,2017-09-17,2.0,1074567.7,140979.17,243233.57,891.6,689463.36,organic,2017,TotalUS
2112,2016-07-03,1.47,1073595.37,159903.0,381527.15,11897.11,520268.1100000001,organic,2016,TotalUS
2114,2017-10-01,1.95,1072521.35,100319.38,230053.24,1966.94,740181.7900000002,organic,2017,TotalUS
2117,2017-08-20,1.96,1071538.25,108658.66,262747.8,1154.19,698977.6000000001,organic,2017,TotalUS
2120,2016-06-19,1.45,1071066.66,166983.45,445194.49,12052.84,446835.87999999995,organic,2016,TotalUS
2126,2017-11-05,1.82,1068530.09,88073.16,244925.18,1059.63,734472.12,organic,2017,TotalUS
2136,2017-02-12,1.41,1060775.98,136636.34,297764.4,3486.2,622889.04,organic,2017,TotalUS
2138,2017-08-06,1.83,1059971.14,112592.04,236015.15,1552.51,709811.4399999998,organic,2017,TotalUS
2150,2016-09-04,1.54,1052088.77,137842.79,344378.75,4653.04,565214.19,organic,2016,TotalUS
2160,2017-08-27,2.09,1045992.02,112812.39,250861.84,2119.14,680198.65,organic,2017,TotalUS
2161,2016-03-20,1.27,1045450.41,105069.07,352698.21,9425.64,578257.4900000001,organic,2016,TotalUS
2162,2017-11-12,1.81,1044591.43,93312.94,217612.9,1074.64,732590.95,organic,2017,TotalUS
2164,2016-07-10,1.51,1043428.53,152994.7,355101.22,12180.53,523152.0800000001,organic,2016,TotalUS
2179,2016-08-21,1.51,1033169.7,177591.96,308314.91,5831.02,541431.81,organic,2016,TotalUS
2193,2016-03-13,1.29,1023655.87,132040.04,346341.46,6709.65,538564.7199999999,organic,2016,TotalUS
2195,2016-05-15,1.45,1023252.17,146037.3,437584.52,8120.53,431509.82000000007,organic,2016,TotalUS
2198,2016-04-17,1.38,1022217.32,115155.65,388081.34,7878.94,511101.3899999999,organic,2016,TotalUS
2211,2016-07-17,1.63,1018118.27,152828.51,359772.18,9957.61,495559.97000000003,organic,2016,TotalUS
2217,2017-02-05,1.36,1015621.03,136100.39,314011.26,2238.78,563270.6,organic,2017,TotalUS
2220,2017-08-13,1.88,1014709.07,98007.24,230106.14,1414.21,685181.48,organic,2017,TotalUS
2222,2016-06-05,1.43,1012717.93,152105.91,410451.71,7817.11,442343.2,organic,2016,TotalUS
2223,2016-03-06,1.28,1012415.85,127184.88,351951.65,5698.2,527581.12,organic,2016,TotalUS
2224,2016-08-07,1.55,1012237.01,151179.99,332421.63,10707.18,517928.21,organic,2016,TotalUS
2236,2016-06-26,1.5,1007378.78,171054.38,391129.07,6763.46,438431.87,organic,2016,TotalUS
2253,2017-01-22,1.37,994282.98,115700.02,281786.33,6707.82,590088.8099999999,organic,2017,TotalUS
2262,2017-01-08,1.43,990721.83,117721.87,283532.68,8697.35,580769.93,organic,2017,TotalUS
2286,2017-01-15,1.44,975724.28,121132.79,280287.84,8750.08,565553.57,organic,2017,TotalUS
2287,2016-06-12,1.45,975275.55,176286.36,403561.49,8626.89,386800.81000000006,organic,2016,TotalUS
2298,2017-11-19,1.77,967886.13,88110.88,213230.36,834.3,665710.59,organic,2017,TotalUS
2317,2017-11-26,1.72,957800.72,77759.93,204612.15,978.29,674450.35,organic,2017,TotalUS
2328,2017-01-29,1.43,953206.1,131808.29,292584.44,3524.96,525288.4099999999,organic,2017,TotalUS
2338,2016-08-28,1.49,948530.88,135742.77,316907.28,5110.77,490770.05999999994,organic,2016,TotalUS
2343,2016-07-31,1.58,946087.81,156417.33,328942.12,9035.27,451693.0900000001,organic,2016,TotalUS
2374,2016-04-03,1.44,930722.39,119283.9,371845.6,8628.68,430964.21,organic,2016,TotalUS
2394,2016-07-24,1.65,919489.84,159151.31,343780.56,8612.44,407945.53,organic,2016,TotalUS
2406,2016-12-25,1.34,914035.42,93875.25,250138.66,3415.27,566606.24,organic,2016,TotalUS
2410,2015-05-03,1.37,912681.57,323883.65,380650.64,8951.77,199195.50999999992,organic,2015,TotalUS
2437,2016-03-27,1.44,900644.79,112620.05,338194.18,7738.95,442091.61,organic,2016,TotalUS
2444,2016-11-06,1.68,897671.29,117317.9,266018.89,5049.63,509284.87,organic,2016,TotalUS
2495,2016-10-09,1.52,878367.41,127092.78,266687.47,5103.42,479483.74000000005,organic,2016,TotalUS
2506,2015-04-26,1.45,872239.07,321733.2,379382.1,6150.07,164973.6999999999,organic,2015,TotalUS
2507,2016-09-18,1.67,871627.58,127014.67,266648.5,4597.27,473367.1399999999,organic,2016,TotalUS
2525,2016-11-13,1.7,863948.15,110018.79,257268.83,3669.98,492990.55000000005,organic,2016,TotalUS
2536,2015-05-10,1.42,861671.11,251602.18,349907.52,6213.47,253947.93999999992,organic,2015,TotalUS
2540,2016-11-20,1.63,860320.59,110737.55,233518.72,3847.05,512217.26999999996,organic,2016,TotalUS
2548,2016-12-11,1.42,856795.63,93027.82,248303.87,6116.44,509347.50000000006,organic,2016,TotalUS
2555,2016-02-14,1.37,852463.31,102897.63,306235.69,6955.69,436374.30000000005,organic,2016,TotalUS
2576,2016-02-28,1.44,845011.63,110120.49,347488.78,10423.3,376979.06,organic,2016,TotalUS
2607,2016-12-04,1.56,832767.55,106472.53,242055.86,2918.28,481320.88,organic,2016,TotalUS
2625,2016-01-10,1.35,828670.59,113867.63,287590.19,8771.79,418440.98,organic,2016,TotalUS
2667,2016-10-16,1.5,815859.49,114303.56,243788.95,4732.27,453034.7099999999,organic,2016,TotalUS
2673,2015-03-01,1.4,814484.79,361996.84,275458.57,5556.02,171473.36000000002,organic,2015,TotalUS
2684,2015-04-12,1.53,810018.27,202491.27,428607.3,6179.48,172740.22,organic,2015,TotalUS
2688,2017-01-01,1.48,808971.88,99820.77,273329.61,4425.75,431395.75,organic,2017,TotalUS
2690,2016-09-25,1.69,808891.94,119993.58,272553.74,4407.75,411936.87,organic,2016,TotalUS
2734,2016-12-18,1.43,797042.27,97661.23,248598.14,4926.76,445856.14,organic,2016,TotalUS
2752,2016-10-02,1.71,790926.03,131467.24,272293.48,4904.25,382261.06000000006,organic,2016,TotalUS
2773,2015-03-08,1.49,783913.05,253078.17,327972.28,5658.7,197203.89999999997,organic,2015,TotalUS
2798,2016-01-24,1.41,776964.55,99316.69,270980.88,12933.97,393733.0100000001,organic,2016,TotalUS
2823,2016-01-31,1.43,772077.2,108929.21,269687.52,5515.91,387944.56,organic,2016,TotalUS
2857,2015-05-17,1.5,761972.65,246278.31,312193.09,22024.09,181477.16,organic,2015,TotalUS
2860,2016-11-27,1.64,761675.87,100240.54,198874.09,3381.69,459179.55,organic,2016,TotalUS
2870,2016-02-07,1.44,758795.1,101408.79,290813.54,8028.75,358544.01999999996,organic,2016,TotalUS
2931,2015-02-01,1.36,740896.97,302561.47,259286.44,5852.28,173196.78,organic,2015,TotalUS
2939,2016-02-21,1.45,738856.92,104135.94,281188.89,8629.03,344903.05999999994,organic,2016,TotalUS
2967,2015-02-08,1.48,730874.31,215657.99,273897.84,5316.55,236001.93000000005,organic,2015,TotalUS
3017,2015-05-31,1.58,716942.71,205250.19,333300.63,6835.09,171556.79999999996,organic,2015,TotalUS
3026,2015-05-24,1.59,714266.31,234692.14,293553.99,6911.26,179108.92000000004,organic,2015,TotalUS
3034,2015-01-18,1.42,713120.0,254319.58,311811.01,4020.85,142968.56000000003,organic,2015,TotalUS
3056,2016-01-03,1.43,704100.5,124799.63,246580.95,7749.4,324970.51999999996,organic,2016,TotalUS
3066,2016-10-23,1.63,699763.35,131203.12,241758.21,4363.02,322439.0,organic,2016,TotalUS
3087,2016-01-17,1.44,695341.42,115992.81,266824.72,13106.29,299417.60000000015,organic,2016,TotalUS
3129,2015-03-22,1.49,682640.03,237139.46,320353.82,5290.59,119856.16000000006,organic,2015,TotalUS
3160,2015-04-19,1.59,675907.97,215283.51,301783.5,6465.74,152375.21999999997,organic,2015,TotalUS
3170,2015-03-29,1.6,674551.02,193273.88,324919.62,5794.39,150563.13,organic,2015,TotalUS
3178,2015-02-22,1.51,673446.69,272594.88,230342.87,4883.55,165625.38999999996,organic,2015,TotalUS
3200,2015-08-30,1.66,670005.94,150924.97,325442.96,5569.76,188068.24999999994,organic,2015,TotalUS
3202,2015-01-11,1.42,669528.88,270966.74,260971.6,3830.42,133760.12,organic,2015,TotalUS
3208,2015-07-05,1.0,668233.0,205073.0,304597.0,6251.0,152312.0,organic,2015,TotalUS
3221,2015-08-23,1.72,666276.26,176723.74,298092.6,5985.12,185474.80000000005,organic,2015,TotalUS
3238,2015-04-05,1.63,661842.02,197746.89,275595.72,6434.88,182064.53000000003,organic,2015,TotalUS
3249,2015-06-28,1.64,659947.03,192182.13,332739.27,5956.87,129068.76000000001,organic,2015,TotalUS
3286,2015-07-19,1.0,650389.0,159752.0,317728.0,4758.0,168151.0,organic,2015,TotalUS
3299,2015-11-01,1.47,647789.17,113380.29,262559.59,6583.03,265266.25999999995,organic,2015,TotalUS
3300,2016-10-30,1.93,647723.55,123815.8,279842.5,5661.78,238403.47000000006,organic,2016,TotalUS
3306,2015-06-14,1.68,646098.42,203021.68,278912.22,6901.71,157262.81000000008,organic,2015,TotalUS
3316,2015-08-16,1.75,644689.71,150876.8,310229.77,6215.26,177367.87999999995,organic,2015,TotalUS
3319,2015-03-15,1.5,644584.67,235569.01,258475.58,5308.79,145231.29000000004,organic,2015,TotalUS
3335,2015-06-07,1.67,640448.59,200483.4,264482.87,6286.15,169196.16999999995,organic,2015,TotalUS
3350,2015-06-21,1.66,638192.89,202071.06,304368.47,6264.36,125489.00000000004,organic,2015,TotalUS
3402,2015-08-09,1.0,625259.0,170184.0,269330.0,6905.0,178840.0,organic,2015,TotalUS
3407,2015-12-13,1.43,624300.31,91837.92,222314.6,11645.54,298502.25000000006,organic,2015,TotalUS
3438,2015-02-15,1.58,616177.0,207650.64,228653.33,4950.01,174923.02,organic,2015,TotalUS
3454,2015-01-04,1.46,612910.15,233286.13,216611.2,4370.99,158641.83000000002,organic,2015,TotalUS
3465,2015-07-12,1.0,608845.0,178871.0,267353.0,5093.0,157528.0,organic,2015,TotalUS
3479,2015-11-08,1.54,605197.12,167254.55,249160.89,4458.45,184323.22999999998,organic,2015,TotalUS
3536,2015-09-06,1.78,593797.17,132181.77,271784.99,5890.57,183939.84000000003,organic,2015,TotalUS
3577,2015-11-22,1.49,584276.79,95222.99,249686.75,3686.28,235680.77000000005,organic,2015,TotalUS
3590,2015-07-26,1.0,580826.0,169940.0,266249.0,4391.0,140246.0,organic,2015,TotalUS
3615,2015-08-02,1.0,573873.0,164126.0,263359.0,5115.0,141273.0,organic,2015,TotalUS
3675,2015-10-25,1.62,560830.54,109006.18,244222.97,6181.13,201420.26000000004,organic,2015,TotalUS
3696,2015-10-04,1.72,557392.73,95393.58,269237.06,4093.2,188668.88999999996,organic,2015,TotalUS
3704,2015-01-25,1.53,556368.86,207494.87,212312.02,4753.87,131808.1,organic,2015,TotalUS
3721,2015-09-13,1.8,552059.64,133928.36,251786.63,5154.23,161190.42,organic,2015,TotalUS
3735,2015-12-27,1.52,549787.59,89709.92,206198.62,5836.04,248043.00999999998,organic,2015,TotalUS
3816,2015-12-20,1.53,531478.24,93849.3,205909.13,8733.11,222986.7,organic,2015,TotalUS
3863,2015-10-11,1.69,519892.67,93015.27,230653.61,4792.06,191431.72999999998,organic,2015,TotalUS
3872,2015-10-18,1.71,518034.86,108697.64,224038.49,5199.73,180098.99999999997,organic,2015,TotalUS
3887,2015-09-20,1.77,515240.82,126318.13,244950.88,4880.83,139090.98,organic,2015,TotalUS
3894,2015-12-06,1.52,514112.96,90203.21,212582.74,4066.09,207260.92,organic,2015,TotalUS
3911,2015-11-15,1.6,511347.26,109494.19,225216.4,3599.71,173036.96000000002,organic,2015,TotalUS
3928,2015-11-29,1.5,507830.81,79215.51,208733.32,3749.48,216132.49999999997,organic,2015,TotalUS
3959,2015-09-27,1.75,501814.87,114590.38,238175.26,4546.66,144502.56999999998,organic,2015,TotalUS
