,Unnamed: 0,Q1,Q2,Q3,Q4,AveragePrice,Medium,Large,Extra Large,Other,year,conventional,organic
195,18,False,False,True,False,1.05,2646367.78,1712067.2,171379.36,1778186.0,2016,True,False
8664,7,False,False,False,True,2.37,22140.03,56357.55,0.0,40539.67,2016,False,True
7864,48,True,False,False,False,1.36,13658.82,86743.65,0.0,54035.850000000006,2016,False,True
8950,5,False,False,False,True,2.1,18289.69,44678.81,12.3,44606.34,2016,False,True
8283,44,True,False,False,False,1.41,102232.31,25715.73,0.0,8473.840000000007,2015,False,True
178,36,False,True,False,False,0.93,2370403.05,1875909.98,382295.13,1769205.3200000008,2016,True,False
614,4,False,False,False,True,1.21,1508446.52,1313000.92,81897.44,1282555.79,2016,True,False
430,7,False,False,False,True,0.98,2317858.81,1758964.54,216523.58,855636.5799999997,2015,True,False
8838,40,True,False,False,False,1.3,64969.37,40012.49,0.0,7302.710000000006,2015,False,True
417,23,False,False,True,False,1.18,2805887.74,1629871.75,188207.47,601233.5599999994,2015,True,False
6944,26,False,True,False,False,1.51,34450.42,103277.2,18.59,66646.18000000004,2016,False,True
8301,31,False,True,False,False,1.5,60597.97,63560.02,0.0,11385.900000000016,2015,False,True
9423,16,False,False,True,False,1.99,23875.92,56393.97,0.0,8693.720000000001,2015,False,True
369,24,False,False,True,False,1.13,2747299.98,1923893.11,157478.05,622965.7799999998,2015,True,False
408,32,False,True,False,False,1.08,2923673.93,1649623.66,168597.35,547243.5599999999,2015,True,False
162,31,False,True,False,False,0.9,2238875.14,2178820.82,329737.94,1754547.1799999997,2016,True,False
8651,37,False,True,False,False,1.5,59861.05,49554.48,0.0,10133.749999999993,2015,False,True
427,18,False,False,True,False,1.18,2626977.95,1798911.33,222082.91,545248.8099999997,2015,True,False
9571,4,False,False,False,True,1.75,13195.19,48229.29,0.0,21991.05999999999,2015,False,True
8779,29,False,True,False,False,1.67,49301.79,52704.34,6.16,12393.859999999997,2015,False,True
9386,17,False,False,True,False,1.98,23449.1,55879.18,0.0,10797.140000000007,2015,False,True
233,22,False,False,True,False,1.2,2019596.6,2147541.33,302735.37,1634174.0799999996,2016,True,False
307,45,True,False,False,False,0.96,3315163.6,1620462.13,169907.54,594411.6599999997,2015,True,False
7818,46,True,False,False,False,1.38,13085.23,84118.36,78.91,59303.749999999985,2016,False,True
473,12,False,False,False,True,1.02,1461112.39,2788317.94,222260.58,472090.38000000047,2015,True,False
364,14,False,False,True,False,1.22,1888694.03,1934688.42,112714.97,1535467.86,2016,True,False
462,10,False,False,False,True,1.07,1847991.31,2286235.79,217814.17,646990.5199999999,2015,True,False
208,20,False,False,True,False,1.1,3260775.73,2196704.97,193831.6,580768.9699999994,2015,True,False
154,27,False,True,False,False,1.06,2409003.0,2045112.18,319711.53,1754229.4699999997,2016,True,False
101,45,True,False,False,False,0.82,1998149.71,1974912.11,278558.48,2555662.85,2016,True,False
971,8,False,False,False,True,1.68,1126017.42,1186843.99,92064.47,734907.6200000001,2016,True,False
9356,3,False,False,False,True,1.48,17839.96,47527.65,1.53,25842.390000000007,2015,False,True
344,22,False,False,True,False,1.13,3112921.78,1636659.9,209427.05,598607.5399999998,2015,True,False
9256,15,False,False,True,False,1.97,34760.74,54821.89,0.0,5648.049999999996,2015,False,True
6976,32,False,True,False,False,1.5,26935.79,102253.41,0.0,73452.72,2016,False,True
251,42,True,False,False,False,0.96,3484274.6,1649936.05,184720.58,671312.6599999996,2015,True,False
8733,28,False,True,False,False,1.68,51607.99,54937.64,43.18,9733.630000000005,2015,False,True
